nombreProvincia,nombre,cut,area,poblacion,latitud,longitud
Iquique,Iquique,1101,123,123,123,123
Iquique,Alto Hospicio,1107,123,123,123,123
Tamarugal,Pozo Almonte,1401,123,123,123,123
Tamarugal,Camiña,1402,123,123,123,123
Tamarugal,Colchane,1403,123,123,123,123
Tamarugal,Huara,1404,123,123,123,123
Tamarugal,Pica,1405,123,123,123,123
Antofagasta,Antofagasta,2101,123,123,123,123
Antofagasta,Mejillones,2102,123,123,123,123
Antofagasta,Sierra Gorda,2103,123,123,123,123
Antofagasta,Taltal,2104,123,123,123,123
El Loa,Calama,2201,123,123,123,123
El Loa,Ollague,2202,123,123,123,123
El Loa,San Pedro De Atacama,2203,123,123,123,123
Tocopilla,Tocopilla,2301,123,123,123,123
Tocopilla,María Elena,2302,123,123,123,123
Copiapó,Copiapó,3101,123,123,123,123
Copiapó,Caldera,3102,123,123,123,123
Copiapó,Tierra Amarilla,3103,123,123,123,123
Chañaral,Chañaral,3201,123,123,123,123
Chañaral,Diego De Almagro,3202,123,123,123,123
Huasco,Vallenar,3301,123,123,123,123
Huasco,Alto Del Carmen,3302,123,123,123,123
Huasco,Freirina,3303,123,123,123,123
Huasco,Huasco,3304,123,123,123,123
Elqui,La Serena,4101,123,123,123,123
Elqui,Coquimbo,4102,123,123,123,123
Elqui,Andacollo,4103,123,123,123,123
Elqui,La Higuera,4104,123,123,123,123
Elqui,Paiguano,4105,123,123,123,123
Elqui,Vicuña,4106,123,123,123,123
Choapa,Illapel,4201,123,123,123,123
Choapa,Canela,4202,123,123,123,123
Choapa,Los Vilos,4203,123,123,123,123
Choapa,Salamanca,4204,123,123,123,123
Limarí,Ovalle,4301,123,123,123,123
Limarí,Combarbalá,4302,123,123,123,123
Limarí,Monte Patria,4303,123,123,123,123
Limarí,Punitaqui,4304,123,123,123,123
Limarí,Río Hurtado,4305,123,123,123,123
Valparaíso,Valparaíso,5101,123,123,123,123
Valparaíso,Casablanca,5102,123,123,123,123
Valparaíso,Concón,5103,123,123,123,123
Valparaíso,Juan Fernández,5104,123,123,123,123
Valparaíso,Puchuncaví,5105,123,123,123,123
Valparaíso,Quintero,5107,123,123,123,123
Valparaíso,Viña Del Mar,5109,123,123,123,123
Isla De Pascua,Isla De Pascua,5201,123,123,123,123
Los Andes,Los Andes,5301,123,123,123,123
Los Andes,Calle Larga,5302,123,123,123,123
Los Andes,Rinconada,5303,123,123,123,123
Los Andes,San Esteban,5304,123,123,123,123
Petorca,La Ligua,5401,123,123,123,123
Petorca,Cabildo,5402,123,123,123,123
Petorca,Papudo,5403,123,123,123,123
Petorca,Petorca,5404,123,123,123,123
Petorca,Zapallar,5405,123,123,123,123
Quillota,Quillota,5501,123,123,123,123
Quillota,La Calera,5502,123,123,123,123
Quillota,Hijuelas,5503,123,123,123,123
Quillota,La Cruz,5504,123,123,123,123
Quillota,Nogales,5506,123,123,123,123
San Antonio,San Antonio,5601,123,123,123,123
San Antonio,Algarrobo,5602,123,123,123,123
San Antonio,Cartagena,5603,123,123,123,123
San Antonio,El Quisco,5604,123,123,123,123
San Antonio,El Tabo,5605,123,123,123,123
San Antonio,Santo Domingo,5606,123,123,123,123
San Felipe,San Felipe,5701,123,123,123,123
San Felipe,Catemu,5702,123,123,123,123
San Felipe,Llaillay,5703,123,123,123,123
San Felipe,Panquehue,5704,123,123,123,123
San Felipe,Putaendo,5705,123,123,123,123
San Felipe,Santa María,5706,123,123,123,123
Marga Marga,Quilpué,5801,123,123,123,123
Marga Marga,Limache,5802,123,123,123,123
Marga Marga,Olmué,5803,123,123,123,123
Marga Marga,Villa Alemana,5804,123,123,123,123
Cachapoal,Rancagua,6101,123,123,123,123
