codigo_iso,nombre
CL-TA,Iquique
CL-TA,Tamarugal
CL-AN,Antofagasta
CL-AN,El Loa
CL-AN,Tocopilla
CL-AT,Copiapó
CL-AT,Chañaral
CL-AT,Huasco
CL-CO,Elqui
CL-CO,Choapa
CL-CO,Limarí
CL-VS,Valparaíso
CL-VS,Isla De Pascua
CL-VS,Los Andes
CL-VS,Petorca
CL-VS,Quillota
CL-VS,San Antonio
CL-VS,San Felipe
CL-VS,Marga Marga
CL-LI,Cachapoal
CL-LI,Cardenal Caro
CL-LI,Colchagua
CL-ML,Talca
CL-ML,Cauquenes
CL-ML,Curicó
CL-ML,Linares
CL-BI,Concepción
CL-BI,Arauco
CL-BI,Bío-Bío
CL-BI,Ñuble
CL-AR,Cautín
CL-AR,Malleco
CL-LL,Llanquihue
CL-LL,Chiloé
CL-LL,Osorno
CL-LL,Palena
CL-AI,Coihayque
CL-AI,Aisén
CL-AI,Capitán Prat
CL-AI,General Carrera
CL-MA,Magallanes
CL-MA,Antártica Chilena
CL-MA,Tierra del Fuego
CL-MA,Última Esperanza
CL-RM,Santiago
CL-RM,Cordillera
CL-RM,Chacabuco
CL-RM,Maipo
CL-RM,Melipilla
CL-RM,Talagante
CL-LR,Valdivia
CL-LR,Ranco
CL-AP,Arica
CL-AP,Parinacota
